Site,Number,Treatment,spp,PH,Stems,Lvs,Tin Weight ,Dry Mass in Bags,Dry Mass + Tins,Dry Mass in Tins,Bmass,,
F,7,CC,Bh,30,1,53,,0.59,,0,0.59,,
F,7,CC,Pv,81,4,14,,1.31,,0,1.31,,
F,7,CC,Pa,71,5,53,,2.08,,0,2.08,,
F,7,CG,If,,,,,,,0,0,,
F,7,CG,Bh,,,,,,,0,0,,
F,7,CG,Pv,120,11,59,,9.31,,0,9.31,,
F,7,CG,Pa,189,8,128,,43.02,,0,43.02,,
F,8,CT,If,,,,,,,0,0,,
F,8,CT,Bh,,,,,,,0,0,,
F,8,CT,Pv,66,3,8,,1.51,,0,1.51,,
F,8,CT,Pa,,,,,,,0,0,,
F,8,CC,If,74,1,38,,6.89,,0,6.89,,
F,8,CC,Bh,,,,,,,0,0,,
F,8,CC,Pv,152,5,11,,6.81,,0,6.81,,
F,8,CC,Pa,112,5,40,,3.82,,0,3.82,,
F,8,CG,If,,,,,,,0,0,,
F,8,CG,Bh,,,,,,,0,0,,
F,8,CG,Pv,146,7,24,,8.08,,0,8.08,,
F,8,CG,Pa,182,7,84,,26.55,,0,26.55,,
F,9,CT,If,,,,,,,0,0,,
F,9,CT,Bh,,,,,,,0,0,,
F,9,CT,Pv,180,15,56,,43.45,,0,43.45,,
F,9,CT,Pa,,,,,,,0,0,,
F,9,CC,If,,,,,,,0,0,,
F,9,CC,Bh,,,,,,,0,0,,
F,9,CC,Pv,103,18,102,,8.24,,0,8.24,,
F,9,CC,Pa,85,4,44,,4.94,,0,4.94,,
F,9,CG,If,,,,,,,0,0,,
F,9,CG,Bh,,,,,,,0,0,,
F,9,CG,Pv,168,19,98,,34.52,,0,34.52,,
F,9,CG,Pa,178,19,178,,58.06,,0,58.06,,
F,10,CT,If,,,,,,,0,0,,
F,10,CT,Bh,,,,,,,0,0,,
F,10,CT,Pv,85,19,91,,17.47,,0,17.47,,
F,10,CT,Pa,,,,,,,0,0,,
F,10,CC,If,,,,,,,0,0,,
F,10,CC,Bh,33,1,33,,0.95,,0,0.95,,
F,10,CC,Pv,82,1,97,,3.53,,0,3.53,,
F,10,CC,Pa,94,12,42,,10.98,,0,10.98,,
F,10,CG,If,100,1,161,,25.24,,0,25.24,,
F,10,CG,Bh,71,1,163,,6.28,,0,6.28,,
F,10,CG,Pv,111,14,78,,12.31,,0,12.31,,
F,10,CG,Pa,194,24,283,,106.62,,0,106.62,,
F,11,CT,If,55,3,56,,6.61,,0,6.61,,
F,11,CT,Bh,,,,,,,0,0,,
F,11,CT,Pv,150,13,66,,22.55,,0,22.55,,
F,11,CT,Pa,,,,,,,0,0,,
F,11,CC,If,,,,,,,0,0,,
F,11,CC,Bh,,,,,,,0,0,,
F,11,CC,Pv,155,17,92,,30.69,,0,30.69,,
F,11,CC,Pa,197,4,57,,14.09,,0,14.09,,
F,11,CG,If,89,1,124,,20.47,,0,20.47,,
F,11,CG,Bh,,,,,,,0,0,,
F,11,CG,Pv,144,8,22,,10.01,,0,10.01,,
F,11,CG,Pa,236,15,270,,83.89,,0,83.89,,
F,12,CT,If,,,,,,,0,0,,
F,12,CT,Bh,,,,,,,0,0,,
F,12,CT,Pv,40,2,8,,0.25,,0,0.25,,
F,12,CT,Pa,,,,,,,0,0,,
F,12,CC,If,,,,,,,0,0,,
F,12,CC,Bh,,,,,,,0,0,,
F,12,CC,Pv,56,9,54,,1.84,,0,1.84,,
F,12,CC,Pa,,,,,,,0,0,,
F,12,CG,If,24,1,23,,1.28,,0,1.28,,
F,12,CG,Bh,,,,,,,0,0,,
F,12,CG,Pv,83,12,55,,5.12,,0,5.12,,
F,12,CG,Pa,172,10,134,,27.45,,0,27.45,,
F,13,CT,If,,,,,,,0,0,,
F,13,CT,Bh,,,,,,,0,0,,
F,13,CT,Pv,106,19,83,,11.4,,0,11.4,,
F,13,CT,Pa,64,5,42,,1.67,,0,1.67,,
F,13,CC,If,,,,,,,0,0,,
F,13,CC,Bh,,,,,,,0,0,,
F,13,CC,Pv,,,,,,,0,0,,
F,13,CC,Pa,96,13,184,,12.71,,0,12.71,,
F,13,CG,If,,,,,,,0,0,,
F,13,CG,Bh,,,,,,,0,0,,
F,13,CG,Pv,139,18,75,,19.87,,0,19.87,,
F,13,CG,Pa,188,26,322,,95.32,,0,95.32,,
F,14,CT,If,39,1,4,,0.51,,0,0.51,,
F,14,CT,Bh,,,,,,,0,0,,
F,14,CT,Pv,126,8,39,,8.45,,0,8.45,,
F,14,CT,Pa,,,,,,,0,0,,
F,14,CC,If,69,1,22,,3.42,,0,3.42,,
F,14,CC,Bh,,,,,,,0,0,,
F,14,CC,Pv,79,6,30,,3.32,,0,3.32,,
F,14,CC,Pa,,,,,,,0,0,,
F,14,CG,If,,,,,,,0,0,,
F,14,CG,Bh,,,,,,,0,0,,
F,14,CG,Pv,143,11,39,,11.07,,0,11.07,,
F,14,CG,Pa,117,19,299,,19.29,,0,19.29,,
F,15,CT,If,84,1,18,,4.93,,0,4.93,,
F,15,CT,Bh,44,1,41,,2.11,,0,2.11,,
F,15,CT,Pv,62,8,24,,2.31,,0,2.31,,
F,15,CT,Pa,44,1,15,,0.47,,0,0.47,,
F,15,CC,If,,,,,,,0,0,,
F,15,CC,Bh,44,1,45,,2.86,,0,2.86,,
F,15,CC,Pv,130,11,44,,9.36,,0,9.36,,
F,15,CC,Pa,138,7,69,,5.22,,0,5.22,,
F,15,CG,If,62,1,15,,2.56,,0,2.56,,
F,15,CG,Bh,68,1,132,,6.7,,0,6.7,,
F,15,CG,Pv,88,4,23,,2.71,,0,2.71,,
F,15,CG,Pa,206,9,99,,31.33,,0,31.33,,
F,16,CT,If,73,1,27,,4.93,,0,4.93,,
F,16,CT,Bh,16,1,8,,0.62,,0,0.62,,
F,16,CT,Pv,98,14,49,,6.22,,0,6.22,,
F,16,CT,Pa,64,4,37,,1.64,,0,1.64,,
F,16,CC,If,53,1,23,,2.02,,0,2.02,,
F,16,CC,Bh,51,1,42,,1.45,,0,1.45,,
F,16,CC,Pv,84,4,21,,2.29,,0,2.29,,
F,16,CC,Pa,80,6,47,,5.16,,0,5.16,,
F,16,CG,If,76,1,16,,3.02,,0,3.02,,
F,16,CG,Bh,65,1,77,,4.16,,0,4.16,,
F,16,CG,Pv,143,11,57,,12.4,,0,12.4,,
F,16,CG,Pa,73,6,43,,4.34,,0,4.34,,
F,17,CT,If,50,2,16,,1.47,,0,1.47,,
F,17,CT,Bh,,,,,,,0,0,,
F,17,CT,Pv,114,8,45,,8.78,,0,8.78,,
F,17,CT,Pa,,,,,,,0,0,,
F,17,CC,If,14,1,5,,0.11,,0,0.11,,
F,17,CC,Bh,18,1,3,,0.54,,0,0.54,,
F,17,CC,Pv,50,3,14,,1.13,,0,1.13,,
F,17,CC,Pa,69,11,115,,3.02,,0,3.02,,
F,17,CG,If,75,1,11,,3.16,,0,3.16,,
F,17,CG,Bh,21,1,30,,1.03,,0,1.03,,
F,17,CG,Pv,147,9,37,,11.36,,0,11.36,,
F,17,CG,Pa,196,22,276,,43.42,,0,43.42,,
F,18,CT,If,99,1,58,,9.59,,0,9.59,,
F,18,CT,Bh,21,1,54,,1.07,,0,1.07,,
F,18,CT,Pv,60,19,104,,4.82,,0,4.82,,
F,18,CT,Pa,82,3,27,,1.56,,0,1.56,,
F,18,CC,If,31,1,18,,0.42,,0,0.42,,
F,18,CC,Bh,24,1,63,,0.94,,0,0.94,,
F,18,CC,Pv,55,4,20,,1.05,,0,1.05,,
F,18,CC,Pa,,,,,,,0,0,,
F,18,CG,If,44,1,10,,1.04,,0,1.04,,
F,18,CG,Bh,26,1,10,,0.52,,0,0.52,,
F,18,CG,Pv,71,3,14,,1.33,,0,1.33,,
F,18,CG,Pa,120,3,32,,6.73,,0,6.73,,
F,19,CT,If,31,1,8,,0.5,,0,0.5,,
F,19,CT,Bh,,,,,,,0,0,,
F,19,CT,Pv,65,6,19,,1.57,,0,1.57,,
F,19,CT,Pa,,,,,,,0,0,,
F,19,CC,If,22,1,7,,0.28,,0,0.28,,
F,19,CC,Bh,45,1,61,,2.41,,0,2.41,,
F,19,CC,Pv,45,4,12,,0.41,,0,0.41,,
F,19,CC,Pa,,,,,,,0,0,,
F,19,CG,If,30,1,6,,0.42,,0,0.42,,
F,19,CG,Bh,58,1,47,,3.13,,0,3.13,,
F,19,CG,Pv,40,3,13,,0.28,,0,0.28,,
F,19,CG,Pa,45,6,52,,1.02,,0,1.02,,
F,20,CT,If,16,1,8,,0.16,,0,0.16,,
F,20,CT,Bh,21,1,13,,0.55,,0,0.55,,
F,20,CT,Pv,94,12,61,,4.06,,0,4.06,,
F,20,CT,Pa,51,1,8,,0.32,,0,0.32,,
F,20,CC,If,15,1,5,,0.14,,0,0.14,,
F,20,CC,Bh,3,1,2,,0.01,,0,0.01,,
F,20,CC,Pv,54,8,31,,0.91,,0,0.91,,
F,20,CC,Pa,59,2,19,,0.56,,0,0.56,,
F,20,CG,If,45,2,15,,1.06,,0,1.06,,
F,20,CG,Bh,78,1,64,,4.06,,0,4.06,,
F,20,CG,Pv,76,14,80,,5.32,,0,5.32,,
F,20,CG,Pa,34,3,21,,0.26,,0,0.26,,
M,1,CT,If,122,3,108,9.43,13.64,41.63,32.2,45.84,,
M,1,CT,Bh,,,,,,,0,0,,
M,1,CT,Pv,,,,,,,0,0,,
M,1,CT,Pa,60,4,28,,1.75,0,0,1.75,,
M,1,CC,If,93,1,120,9.95,5.65,41.71,31.76,37.41,,
M,1,CC,Bh,,,,,,,0,0,,
M,1,CC,Pv,,,,,,,0,0,,
M,1,CC,Pa,61,5,41,,2.95,0,0,2.95,,
M,1,CG,If,111,2,297,19.92,15.34,91.46,71.54,86.88,,
M,1,CG,Bh,,,,,,,0,0,,
M,1,CG,Pv,,,,,,,0,0,,
M,1,CG,Pa,81,7,42,,2.93,0,0,2.93,,
M,2,CT,If,127,3,301,9.59,13.99,32.05,22.46,36.45,,
M,2,CT,Bh,,,,,,,0,0,,
M,2,CT,Pv,107,6,,,5.97,0,0,5.97,,
M,2,CT,Pa,92,5,51,,6.65,0,0,6.65,,
M,2,CC,If,50,1,51,,2.16,0,0,2.16,,
M,2,CC,Bh,,,,,,,0,0,,
M,2,CC,Pv,66,3,11,,1.53,0,0,1.53,,
M,2,CC,Pa,89,5,37,,5.71,0,0,5.71,,
M,2,CG,If,118,1,166,9.45,9.52,37.2,27.75,37.27,,
M,2,CG,Bh,,,,,,,0,0,,
M,2,CG,Pv,91.5,2,6,,2.58,0,0,2.58,,
M,2,CG,Pa,102,6,45,,11.46,0,0,11.46,,
M,3,CT,If,104,3,382,9.56,42.91,63.94,54.38,97.29,,
M,3,CT,Bh,156,4,110,,10.81,0,0,10.81,,
M,3,CT,Pv,97,3,10,,1.89,0,0,1.89,,
M,3,CT,Pa,135,7,55,,6.11,0,0,6.11,,
M,3,CC,If,62,1,75,,8.78,0,0,8.78,,
M,3,CC,Bh,,,,,,,0,0,,
M,3,CC,Pv,75,1,6,,0.73,0,0,0.73,,
M,3,CC,Pa,89,2,18,,2.7,0,0,2.7,,
M,3,CG,If,74,2,104,,10.31,0,0,10.31,,
M,3,CG,Bh,30,1,14,,0.64,0,0,0.64,,
M,3,CG,Pv,91.5,1,5,,1.13,0,0,1.13,,
M,3,CG,Pa,99,2,19,,3.79,0,0,3.79,,
M,4,CT,If,76,1,66,,9.54,0,0,9.54,,
M,4,CT,Bh,,,,,,,0,0,,
M,4,CT,Pv,105,7,19,,8.62,0,0,8.62,,
M,4,CT,Pa,134,3,35,,9.96,0,0,9.96,,
M,4,CC,If,76,1,59,,3.83,0,0,3.83,,
M,4,CC,Bh,,,,,,,0,0,,
M,4,CC,Pv,135,19,66,,30.44,0,0,30.44,,
M,4,CC,Pa,114,5,35,,11.42,0,0,11.42,,
M,4,CG,If,91,5,316,9.5,15.34,37.01,27.51,42.85,,
M,4,CG,Bh,,,,,,,0,0,,
M,4,CG,Pv,118,9,38,,12.06,0,0,12.06,,
M,4,CG,Pa,89,3,10,,3.04,0,0,3.04,,
M,5,CT,If,,,,,,,0,0,,
M,5,CT,Bh,,,,,,,0,0,,
M,5,CT,Pv,,,,,,,0,0,,
M,5,CT,Pa,57,2,7,,0.99,0,0,0.99,,
M,5,CC,If,50.5,5,43,,2.33,0,0,2.33,,
M,5,CC,Bh,,,,,,,0,0,,
M,5,CC,Pv,84,4,23,,2.67,0,0,2.67,,
M,5,CC,Pa,,,,,,,0,0,,
M,5,CG,If,110,2,190,10.05,8.15,26.77,16.72,24.87,,
M,5,CG,Bh,,,,,,,0,0,,
M,5,CG,Pv,,,,,,,0,0,,
M,5,CG,Pa,62.5,2,24,,0.48,0,0,0.48,,
M,6,CT,If,106,1,207,9.46,12.18,24.12,14.66,26.84,,
M,6,CT,Bh,,,,,,,0,0,,
M,6,CT,Pv,115,1,4,,1.66,0,0,1.66,,
M,6,CT,Pa,94.5,3,24,,4.04,0,0,4.04,,
M,6,CC,If,21.2,1,9,,0.06,0,0,0.06,,
M,6,CC,Bh,,,,,,,0,0,,
M,6,CC,Pv,,,,,,,0,0,,
M,6,CC,Pa,162,2,27,,6.63,0,0,6.63,,
M,6,CG,If,152.5,1,606,19.87,24.88,102.32,82.45,107.33,,
M,6,CG,Bh,,,,,,,0,0,,
M,6,CG,Pv,60,1,5,,0.27,,0,0.27,,
M,6,CG,Pa,,,,,,,0,0,,
M,7,CT,If,84,4,206,9.51,16.21,43.87,34.36,50.57,,
M,7,CT,Bh,,,,,,,0,0,,
M,7,CT,Pv,141,10,35,,16.64,0,0,16.64,,
M,7,CT,Pa,,,,,,,0,0,,
M,7,CC,If,45,3,9,,2.53,0,0,2.53,,
M,7,CC,Bh,59,1,61,,2.5,0,0,2.5,,
M,7,CC,Pv,112,10,28,,15.87,0,0,15.87,,
M,7,CC,Pa,93.5,3,24,,2.76,0,0,2.76,,
M,7,CG,If,78.5,3,105,,16.06,0,0,16.06,,
M,7,CG,Bh,,,,,,,0,0,,
M,7,CG,Pv,,,,,,,0,0,,
M,7,CG,Pa,107,3,27,,4.17,0,0,4.17,,
M,8,CT,If,83,4,229,9.92,6.65,26.88,16.96,23.61,,
M,8,CT,Bh,,,,,,,0,0,,
M,8,CT,Pv,77,6,18,,3.64,0,0,3.64,Heavy Herb 12 chomped,
M,8,CT,Pa,71,4,35,,4.14,0,0,4.14,,
M,8,CC,If,57,1,47,,2.66,0,0,2.66,,
M,8,CC,Bh,,,,,,,0,0,,
M,8,CC,Pv,,,,,,,0,0,,
M,8,CC,Pa,52,4,35,,2.07,0,0,2.07,,
M,8,CG,If,161,3,94,,6.55,0,0,6.55,,
M,8,CG,Bh,,,,,,,0,0,,
M,8,CG,Pv,,,,,,,0,0,,
M,8,CG,Pa,205,10,128,,71.09,,0,71.09,,
M,9,CT,If,76.5,1,269,9.39,12.5,21.78,12.39,24.89,,
M,9,CT,Bh,55.5,1,115,,8.11,0,0,8.11,,
M,9,CT,Pv,123,4,15,,8.63,0,0,8.63,,
M,9,CT,Pa,61,2,11,,1.78,0,0,1.78,,
M,9,CC,If,77,2,44,,14.4,0,0,14.4,,
M,9,CC,Bh,,,,,,,0,0,,
M,9,CC,Pv,78,8,19,,3.35,,0,3.35,,
M,9,CC,Pa,,,,,,,0,0,,
M,9,CG,If,69,1,77,9.48,4.46,24.96,15.48,19.94,,
M,9,CG,Bh,66,1,70,,6.64,0,0,6.64,,
M,9,CG,Pv,129.5,6,27,,8.39,0,0,8.39,,
M,9,CG,Pa,,,,,,,0,0,,
M,10,CT,If,51.5,2,151,,21.79,0,0,21.79,,
M,10,CT,Bh,,,,,,,0,0,,
M,10,CT,Pv,99,4,10,,5.55,0,0,5.55,,
M,10,CT,Pa,,,,,,,0,0,,
M,10,CC,If,49,3,49,,4.2,0,0,4.2,,
M,10,CC,Bh,,,,,,,0,0,,
M,10,CC,Pv,75.5,6,28,,3.25,0,0,3.25,,
M,10,CC,Pa,78,4,20,,4.19,0,0,4.19,,
M,10,CG,If,97,1,229,9.94,15.09,41.78,31.84,46.93,,
M,10,CG,Bh,,,,,,,0,0,,
M,10,CG,Pv,139,1,3,,4.08,0,0,4.08,,
M,10,CG,Pa,88,2,13,,2.33,0,0,2.33,,
M,11,CT,If,58,1,69,,3.93,0,0,3.93,,
M,11,CT,Bh,,,,,,,0,0,,
M,11,CT,Pv,,,,,,,0,0,,
M,11,CT,Pa,,,,,,,0,0,,
M,11,CC,If,67,1,240,9.95,5.72,24.92,14.97,20.69,,
M,11,CC,Bh,,,,,,,0,0,,
M,11,CC,Pv,,,,,,,0,0,,
M,11,CC,Pa,124.5,5,39,,7.29,0,0,7.29,,
M,11,CG,If,48,1,60,10.06,1.35,29.23,19.17,20.52,,
M,11,CG,Bh,,,,,,,0,0,,
M,11,CG,Pv,,,,,,,0,0,,
M,11,CG,Pa,94.5,1,6,,1.84,0,0,1.84,,
M,12,CT,If,67.5,2,99,,8.59,0,0,8.59,,
M,12,CT,Bh,,,,,,,0,0,,
M,12,CT,Pv,68,5,22,,2.5,0,0,2.5,,
M,12,CT,Pa,82,2,18,,3.95,0,0,3.95,,
M,12,CC,If,79,1,152,9.98,5.64,41.19,31.21,36.85,,
M,12,CC,Bh,,,,,,,0,0,,
M,12,CC,Pv,66,2,9,,0.92,0,0,0.92,,
M,12,CC,Pa,82,2,15,,1.78,,0,1.78,,
M,12,CG,If,73,2,150,,8.25,0,0,8.25,,
M,12,CG,Bh,,,,,,,0,0,,
M,12,CG,Pv,,,,,,,0,0,,
M,12,CG,Pa,132,6,59,,12.8,0,0,12.8,,
M,13,CT,If,,,,,,,0,0,,
M,13,CT,Bh,,,,,,,0,0,,
M,13,CT,Pv,,,,,,,0,0,,
M,13,CT,Pa,,,,,,,0,0,,
M,13,CC,If,74,2,23,,16.86,0,0,16.86,,
M,13,CC,Bh,,,,,,,0,0,,
M,13,CC,Pv,72.5,2,10,,0.85,0,0,0.85,,
M,13,CC,Pa,,,,,,,0,0,,
M,13,CG,If,66,4,69,,10.69,0,0,10.69,,
M,13,CG,Bh,,,,,,,0,0,,
M,13,CG,Pv,,,,,,,0,0,,
M,13,CG,Pa,,,,,,,0,0,,
M,14,CT,If,35,2,,,1.12,0,0,1.12,,
M,14,CT,Bh,,,,,,,0,0,,
M,14,CT,Pv,,,,,,,0,0,,
M,14,CT,Pa,38,2,11,,0.36,0,0,0.36,,
M,14,CC,If,110,2,475,9.95,13.98,54.85,44.9,58.88,,
M,14,CC,Bh,,,,,,,0,0,,
M,14,CC,Pv,,,,,,,0,0,,
M,14,CC,Pa,52,1,10,,0.42,0,0,0.42,,
M,14,CG,If,49,2,45,,3.44,0,0,3.44,,
M,14,CG,Bh,,,,,,,0,0,,
M,14,CG,Pv,43.5,1,4,,0.28,0,0,0.28,,
M,14,CG,Pa,122,8,53,,16.74,0,0,16.74,,
M,15,CT,If,52,5,115,,13.1,0,0,13.1,,
M,15,CT,Bh,,,,,,,0,0,,
M,15,CT,Pv,49,2,10,,0.54,0,0,0.54,,
M,15,CT,Pa,,,,,,,0,0,,
M,15,CC,If,48,4,188,,13.19,0,0,13.19,,**was labeled M18CCIV
M,15,CC,Bh,,,,,,,0,0,,
M,15,CC,Pv,,,,,,,0,0,,
M,15,CC,Pa,96,3,19,,5.92,0,0,5.92,,
M,15,CG,If,62.5,3,102,,15.1,0,0,15.1,,
M,15,CG,Bh,,,,,,,0,0,,
M,15,CG,Pv,,,,,,,0,0,,
M,15,CG,Pa,67,2,18,,1.27,0,0,1.27,,
M,16,CT,If,86,3,277,9.95,15.61,30.76,20.81,36.42,,
M,16,CT,Bh,55,1,16,,1.26,0,0,1.26,,
M,16,CT,Pv,121,2,7,,4.13,0,0,4.13,,
M,16,CT,Pa,83,4,28,,3.39,0,0,3.39,,
M,16,CC,If,114,2,324,10,12.75,33.17,23.17,35.92,,
M,16,CC,Bh,,,,,,,0,0,,
M,16,CC,Pv,81.5,2,8,,1.96,0,0,1.96,,
M,16,CC,Pa,76.5,5,25,,3.45,0,0,3.45,,
M,16,CG,If,70.5,1,271,10,14.61,23.22,13.22,27.83,,
M,16,CG,Bh,40,2,26,,0.75,0,0,0.75,,
M,16,CG,Pv,85.3,12,54,,5.78,0,0,5.78,,
M,16,CG,Pa,97.5,1,15,,2.06,0,0,2.06,,
M,17,CT,If,84.5,2,551,,29.05,41.51,41.51,70.56,,
M,17,CT,Bh,56.8,1,78,,3.7,0,0,3.7,,
M,17,CT,Pv,75,4,17,,2.56,0,0,2.56,,
M,17,CT,Pa,53,2,6,,0.83,0,0,0.83,,
M,17,CC,If,99.5,2,558,9.46,27.03,48.98,39.52,66.55,,
M,17,CC,Bh,67,1,116,,6.16,0,0,6.16,,
M,17,CC,Pv,95,4,12,,1.3,0,0,1.3,,
M,17,CC,Pa,112,4,30,,6.18,0,0,6.18,,
M,17,CG,If,97,1,469,9.47,28.59,48.58,39.11,67.7,,
M,17,CG,Bh,83.5,1,228,,14.35,0,0,14.35,,
M,17,CG,Pv,89,5,18,,2.34,0,0,2.34,,
M,17,CG,Pa,,,,,,,0,0,,
M,18,CT,If,134,1,423,9.5,18.86,44.97,35.47,54.33,,
M,18,CT,Bh,,,,,,,0,0,,
M,18,CT,Pv,,,,,,,0,0,,
M,18,CT,Pa,146,18,179,,41.97,0,0,41.97,,
M,18,CC,If,78,1,91,9.33,4.42,22.99,13.66,18.08,,
M,18,CC,Bh,,,,,,,0,0,,
M,18,CC,Pv,,,,,,,0,0,,
M,18,CC,Pa,93,5,28,,6.73,0,0,6.73,,
M,18,CG,If,45,1,33,,1.38,0,0,1.38,,
M,18,CG,Bh,,,,,,,0,0,,
M,18,CG,Pv,,,,,,,0,0,,
M,18,CG,Pa,189,7,68,,26.01,0,0,26.01,,
M,19,CT,If,57.5,1,22,,2.1,0,0,2.1,,
M,19,CT,Bh,,,,,,,0,0,,
M,19,CT,Pv,,,,,,,0,0,,
M,19,CT,Pa,129,5,37,,9.78,0,0,9.78,,
M,19,CC,If,66,1,45,9.65,1.69,33.24,23.59,25.28,,
M,19,CC,Bh,,,,,,,0,0,,
M,19,CC,Pv,,,,,,,0,0,,
M,19,CC,Pa,,,,,,,0,0,,
M,19,CG,If,53.4,1,40,,3.92,0,0,3.92,,
M,19,CG,Bh,,,,,,,0,0,,
M,19,CG,Pv,,,,,,,0,0,,
M,19,CG,Pa,78,1,8,,2.53,0,0,2.53,,
M,20,CT,If,81,1,518,9.61,20.2,47.88,38.27,58.47,,
M,20,CT,Bh,,,,,,,0,0,,
M,20,CT,Pv,102,24,108,,6.96,0,0,6.96,,
M,20,CT,Pa,,,,,,,0,0,,
M,20,CC,If,130,1,181,9.34,20.51,51.35,42.01,62.52,,
M,20,CC,Bh,45,1,66,,2.04,0,0,2.04,,
M,20,CC,Pv,118,7,22,,9.72,0,0,9.72,,
M,20,CC,Pa,,,,,,,0,0,,
M,20,CG,If,105.5,3,613,9.47,38.5,53.32,43.85,82.35,,
M,20,CG,Bh,,,,,,,0,0,,
M,20,CG,Pv,134,13,45,,19.49,0,0,19.49,,
M,20,CG,Pa,,,,,,,0,0,,
